feature,importance
rain_lag1,0.7578827902834557
hour,0.0557168393017072
rain_lag24,0.047997420319237635
temperature,0.0464347481231385
city_hcm,0.0248326461084536
humidity,0.02375266155846299
rain_lag3,0.013806505771256933
month,0.01337484074865649
wind,0.007011517126786543
rain_roll24,0.0044259133195184335
pressure,0.0030866741519378245
city_hanoi,0.0016774431873879758
dayofweek,0.0
rain_roll3,0.0
