mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,mean_test_f1
0.012632036209106445,0.00255382082361369,0.0014171123504638672,0.0013406734273877414,4,5,5,"{'max_depth': 4, 'min_samples_leaf': 5, 'min_samples_split': 5}",0.6232394366197183,0.4397163120567376,0.5596707818930041,0.6830601092896175,0.745164960182025,0.6101703200082205,0.10517799032375617,66,0.6102
0.012821340560913086,0.005748888622274592,0.0034924983978271485,0.006060730255197901,4,5,10,"{'max_depth': 4, 'min_samples_leaf': 5, 'min_samples_split': 10}",0.6232394366197183,0.4397163120567376,0.5596707818930041,0.6830601092896175,0.745164960182025,0.6101703200082205,0.10517799032375617,66,0.6102
0.015303802490234376,0.010052607737306032,0.0005017757415771484,0.0010035514831542966,4,5,20,"{'max_depth': 4, 'min_samples_leaf': 5, 'min_samples_split': 20}",0.6232394366197183,0.43988684582743987,0.5596707818930041,0.6830601092896175,0.745164960182025,0.610204426762361,0.10512272368876269,63,0.6102
0.015702486038208008,0.009881909208369894,0.0,0.0,4,5,30,"{'max_depth': 4, 'min_samples_leaf': 5, 'min_samples_split': 30}",0.6232394366197183,0.43988684582743987,0.5596707818930041,0.6830601092896175,0.745164960182025,0.610204426762361,0.10512272368876269,63,0.6102
0.01601095199584961,0.009939482083206943,0.002842092514038086,0.005684185028076172,4,5,40,"{'max_depth': 4, 'min_samples_leaf': 5, 'min_samples_split': 40}",0.6232394366197183,0.43988684582743987,0.5596707818930041,0.6830601092896175,0.745164960182025,0.610204426762361,0.10512272368876269,63,0.6102
0.015630006790161133,0.009871883667967934,0.0,0.0,4,10,5,"{'max_depth': 4, 'min_samples_leaf': 10, 'min_samples_split': 5}",0.6293706293706294,0.43988684582743987,0.5596707818930041,0.6830601092896175,0.745164960182025,0.6114306653125432,0.10530322759939484,53,0.6114
0.012584114074707031,0.0045067013313675125,0.0,0.0,4,10,10,"{'max_depth': 4, 'min_samples_leaf': 10, 'min_samples_split': 10}",0.6293706293706294,0.43988684582743987,0.5596707818930041,0.6830601092896175,0.745164960182025,0.6114306653125432,0.10530322759939484,53,0.6114
0.013971948623657226,0.011661393529325282,0.0045196533203125,0.00598941172460967,4,10,20,"{'max_depth': 4, 'min_samples_leaf': 10, 'min_samples_split': 20}",0.6293706293706294,0.43988684582743987,0.5596707818930041,0.6830601092896175,0.745164960182025,0.6114306653125432,0.10530322759939484,53,0.6114
0.01570420265197754,0.009701411666409055,0.0,0.0,4,10,30,"{'max_depth': 4, 'min_samples_leaf': 10, 'min_samples_split': 30}",0.6293706293706294,0.43988684582743987,0.5596707818930041,0.6830601092896175,0.745164960182025,0.6114306653125432,0.10530322759939484,53,0.6114
0.015711307525634766,0.010018910773994322,0.0,0.0,4,10,40,"{'max_depth': 4, 'min_samples_leaf': 10, 'min_samples_split': 40}",0.6293706293706294,0.43988684582743987,0.5596707818930041,0.6830601092896175,0.745164960182025,0.6114306653125432,0.10530322759939484,53,0.6114
0.012506866455078125,0.0062534410121706146,0.003120565414428711,0.006241130828857422,4,15,5,"{'max_depth': 4, 'min_samples_leaf': 15, 'min_samples_split': 5}",0.6293706293706294,0.43988684582743987,0.5596707818930041,0.6830601092896175,0.745164960182025,0.6114306653125432,0.10530322759939484,53,0.6114
